Customers,Amount,Month,Year
53.35,53.39,10,2021
42.97,43.02,9,2021
39.19,39.24,8,2021
40.49,40.52,7,2021
35.56,35.57,6,2021
35.67,35.68,5,2021
40.02,40.03,4,2021
45.88,45.89,3,2021
37.34,37.36,2,2021
41.58,41.59,1,2021
54.47,54.57,1,2022
52.94,52.97,2,2022
61.85,62,3,2022
59.7,59.72,4,2022
63.07,63.17,5,2022
61.38,61.39,6,2022
68.43,68.47,7,2022
8742.96,8921.76,12,2021
7049.36,7246.75,11,2021
6167.22,6329.63,10,2021
6395.93,6579.65,9,2021
5476.78,5621.27,8,2021
5761.98,5896.05,7,2021
4958.01,5076.12,6,2021
4411.52,4514.11,5,2021
3672.3,3827.95,4,2021
3703.08,3823.36,3,2021
2393.8,2477.23,2,2021
1835.97,1984.07,1,2021
"8,491.18","8,707.05",1,2022
"8,537.11","8,727.44",2,2022
"10,304.08","10,538.69",3,2022
"9,086.72","9,356.17",4,2022
"9,221.65","11,056.90",5,2022
"6,931.44","10,202.14",6,2022
"7,745.19","11,509.29",7,2022
11.34,11.34,12,2021
13.31,13.31,11,2021
14.22,14.22,10,2021
12,12,9,2021
11.26,11.26,8,2021
11.24,11.24,7,2021
10.86,10.86,6,2021
10.36,10.36,5,2021
9.59,9.59,4,2021
9.68,9.68,3,2021
9.15,9.15,2,2021
9.18,9.18,1,2021
12.54,12.54,1,2022
14.6,14.6,2,2022
16.25,16.25,3,2022
16.78,16.78,4,2022
18.48,18.48,5,2022
15.71,15.71,6,2022
16.42,16.42,7,2022
278.53,278.53,12,2021
237.83,237.83,11,2021
231.02,231.02,10,2021
181.96,181.96,9,2021
155.19,155.19,8,2021
130.1,130.1,7,2021
101.74,101.74,6,2021
72.34,72.34,5,2021
65.23,65.23,4,2021
60.84,60.84,3,2021
47.09,47.09,2,2021
41.87,41.87,1,2021
316.37,316.37,1,2022
321.93,321.93,2,2022
534.56,534.56,3,2022
532.69,532.69,4,2022
626.34,626.34,5,2022
663.65,663.65,6,2022
645.34,645.34,7,2022
321.16,321.16,12,2021
286.07,286.07,11,2021
291.7,291.7,10,2021
267.94,267.94,9,2021
255.16,255.16,8,2021
231.52,231.52,7,2021
203.73,203.73,6,2021
178.52,178.52,5,2021
174.08,174.08,4,2021
167.52,167.52,3,2021
145.46,145.46,2,2021
123.25,123.25,1,2021
309.42,309.42,1,2022
268.9,268.9,2,2022
321.14,321.14,3,2022
328.53,328.53,4,2022
351.88,351.88,5,2022
467.34,467.34,6,2022
480.59,480.59,7,2022
42.71,42.71,12,2021
37.77,37.77,11,2021
38.84,38.84,10,2021
35.34,35.34,9,2021
34.46,34.46,8,2021
33.52,33.52,7,2021
25.18,25.18,6,2021
26.84,26.84,5,2021
24.13,24.13,4,2021
34.1,34.1,3,2021
12.38,12.38,2,2021
5.77,5.77,1,2021
47.42,47.42,1,2022
42.07,42.07,2,2022
42.26,42.26,3,2022
49.9,49.9,4,2022
53.11,53.13,5,2022
53.3,53.68,6,2022
58.15,71.39,7,2022
1.62,1.62,3,2022
1.52,1.52,4,2022
2.35,2.35,5,2022
2.98,2.98,6,2022
3.74,3.74,7,2022
1269.16,1269.16,12,2021
1407.31,1407.31,11,2021
1014.56,1014.56,10,2021
532.43,532.43,9,2021
570.21,570.21,8,2021
458.06,458.06,7,2021
421.41,421.41,6,2021
433.37,433.37,5,2021
654.49,654.49,4,2021
541.66,541.66,3,2021
379.54,379.54,2,2021
367.77,367.77,1,2021
"1,218.79","1,218.79",1,2022
"1,358.24","1,358.24",2,2022
"2,252.30","2,252.30",3,2022
"2,596.71","2,596.71",4,2022
"1,711.21","1,711.21",5,2022
"1,645.13","1,645.13",6,2022
"1,652.26","1,652.26",7,2022
1.93,1.93,12,2021
2.47,2.47,1,2022
3.43,3.43,2,2022
2.15,2.15,3,2022
4.51,4.51,3,2022
4.28,4.28,4,2022
4.79,4.79,5,2022
4.47,4.47,6,2022
4.15,4.15,7,2022
4.48,4.48,12,2021
